4.82E-01	4.59E-02	9.16E-02	6.26E-02
7.30E-05	-1.00E+01	-9.97E+00	-9.87E+00
4.31E-03	-5.38E+00	-5.23E+00	-5.35E+00
2.17E-05	-1.10E+01	-1.13E+01	-1.08E+01
2.17E-06	-1.35E+01	-1.30E+01	-1.35E+01
4.31E-02	-3.57E+00	-3.58E+00	-3.48E+00
5.35E-04	-7.22E+00	-7.40E+00	-7.22E+00
1.60E-04	-9.54E+00	-9.96E+00	-9.22E+00
4.61E-04	-7.86E+00	-7.83E+00	-7.73E+00
2.60E-05	-1.07E+01	-1.05E+01	-1.05E+01
2.82E-04	-8.81E+00	-8.40E+00	-8.86E+00
2.60E-01	-1.54E+00	-1.95E+00	-1.44E+00
1.14E-04	-9.07E+00	-8.94E+00	-8.99E+00
9.25E-02	-1.76E+00	-1.62E+00	-1.91E+00
2.94E-04	-7.87E+00	-8.06E+00	-7.85E+00
2.68E-04	-8.41E+00	-8.51E+00	-8.25E+00
3.22E-02	-3.50E+00	-3.78E+00	-3.59E+00
1.40E-02	-5.66E+00	-6.21E+00	-5.65E+00
1.08E-05	-1.18E+01	-1.14E+01	-1.17E+01
2.00E-02	-3.03E+00	-2.85E+00	-3.26E+00
1.08E-04	-8.77E+00	-8.55E+00	-8.73E+00
2.65E-04	-8.86E+00	-8.98E+00	-8.65E+00
2.18E-02	-4.80E+00	-4.76E+00	-4.78E+00
2.60E-04	-8.47E+00	-7.53E+00	-8.25E+00
5.79E-04	-7.31E+00	-7.14E+00	-7.29E+00
4.99E-06	-1.25E+01	-1.15E+01	-1.24E+01
7.01E-05	-9.51E+00	-9.54E+00	-9.46E+00
7.03E-04	-7.26E+00	-6.93E+00	-7.17E+00
5.47E-05	-9.33E+00	-9.38E+00	-9.42E+00
2.43E-02	-3.23E+00	-3.01E+00	-3.23E+00
5.64E-06	-1.22E+01	-1.19E+01	-1.20E+01
1.91E-05	-1.05E+01	-1.06E+01	-1.06E+01
5.67E-04	-7.53E+00	-7.47E+00	-7.44E+00
2.66E-04	-8.20E+00	-8.78E+00	-8.17E+00
1.53E-03	-7.35E+00	-7.44E+00	-7.14E+00
2.05E-04	6.07E-03	4.15E-02	6.68E-03
3.77E-04	3.51E-02	6.46E-02	6.71E-02
1.66E-04	2.80E-03	4.63E-03	1.52E-02
2.64E-04	3.65E-02	1.63E-02	3.39E-02
4.09E-03	3.14E-02	4.40E-02	2.24E-02
5.10E-03	8.33E-03	2.10E-01	1.05E-01
2.77E-04	3.47E-02	2.53E-02	1.65E-02
9.08E-04	7.91E-02	9.18E-02	1.37E-01
1.76E-04	2.53E-03	1.10E-02	4.22E-03
1.35E-04	6.74E-03	1.47E-02	1.24E-02
1.04E-02	5.26E-02	4.31E-02	5.28E-02
1.37E-04	1.30E-02	1.38E-01	6.98E-02
9.70E-05	2.05E-03	1.11E-02	2.80E-03
2.50E-04	3.15E-03	1.24E-02	2.65E-02
2.60E-04	5.09E-02	1.64E-02	1.76E-02
9.54E-05	6.55E-03	2.41E-02	1.04E-02
7.39E-04	1.08E-02	5.22E-02	2.81E-02
7.00E-03	2.97E-01	2.48E-01	1.97E-01
2.70E-03	1.14E-02	4.28E-02	1.10E-01
4.51E-03	1.97E-02	1.23E-01	1.02E-01
1.42E-03	1.19E-02	3.08E-02	2.21E-02
4.69E-04	1.16E-02	7.69E-02	4.50E-02
8.47E-04	7.23E-02	1.71E-01	6.81E-02
2.43E-04	2.55E-02	1.72E-01	5.64E-02
3.67E-05	3.44E-03	7.16E-03	1.50E-02
1.12E-01	1.02E-02	1.24E-01	4.61E-02
6.98E-05	1.64E-03	6.47E-03	1.71E-03
1.93E-03	1.06E-02	3.50E-02	4.12E-02
1.28E-04	1.35E-02	4.30E-02	2.09E-02
1.56E-03	1.62E-02	5.23E-02	2.66E-02
3.57E-05	4.77E-03	1.42E-02	1.38E-02
4.86E-04	8.30E-03	3.03E-02	2.16E-02
1.25E-04	5.88E-03	1.10E-02	5.45E-03
3.28E-04	1.88E-01	5.06E-02	7.85E-02
1.30E-03	3.27E-02	1.16E-01	7.84E-02
