6.77E-07	6.50E-07	8.45E-07	7.31E-07	5.44E-07	6.76E-07	8.52E-07	6.67E-07	5.76E-07	8.18E-07	-1.45E+01	-1.46E+01	-1.50E+01	-1.41E+01	-1.42E+01
4.65E-01	4.61E-01	4.65E-01	4.58E-01	3.33E-01	3.84E-01	2.90E-01	4.79E-01	4.64E-01	4.37E-01	-8.25E-02	-9.99E-02	-1.36E+00	1.30E-02	-5.23E-04
6.90E-05	6.56E-05	6.92E-05	6.77E-05	7.43E-05	8.73E-05	5.93E-05	5.70E-05	6.23E-05	5.83E-05	-9.31E+00	-9.30E+00	-1.05E+01	-9.34E+00	-9.37E+00
3.30E-03	3.24E-03	3.45E-03	3.28E-03	3.81E-03	3.73E-03	3.57E-03	3.13E-03	3.08E-03	3.13E-03	-5.86E+00	-5.92E+00	-6.40E+00	-5.72E+00	-5.68E+00
1.92E-05	2.40E-05	2.14E-05	2.01E-05	2.28E-05	2.20E-05	1.85E-05	2.20E-05	2.08E-05	2.22E-05	-1.10E+01	-1.15E+01	-1.21E+01	-1.15E+01	-1.16E+01
1.92E-06	1.83E-06	1.96E-06	1.95E-06	1.29E-06	1.52E-06	1.24E-06	1.49E-06	1.47E-06	1.52E-06	-1.29E+01	-1.26E+01	-1.43E+01	-1.31E+01	-1.31E+01
4.27E-02	5.15E-02	4.65E-02	5.52E-02	1.85E-01	1.18E-01	2.40E-01	8.03E-02	9.25E-02	1.22E-01	-4.23E+00	-4.64E+00	-4.35E-01	-3.85E+00	-3.77E+00
1.66E-05	1.58E-05	1.71E-05	1.58E-05	2.22E-05	1.75E-05	2.35E-05	9.71E-06	1.00E-05	1.33E-05	-1.21E+01	-1.27E+01	-1.35E+01	-1.30E+01	-1.28E+01
5.17E-04	5.11E-04	5.25E-04	4.84E-04	3.30E-04	3.75E-04	3.04E-04	4.64E-04	4.58E-04	4.17E-04	-7.59E+00	-7.80E+00	-8.22E+00	-7.48E+00	-7.52E+00
2.16E-04	2.11E-04	2.26E-04	1.80E-04	2.89E-04	2.36E-04	3.02E-04	1.44E-04	1.37E-04	1.61E-04	-8.93E+00	-9.64E+00	-1.03E+01	-9.31E+00	-9.29E+00
4.95E-04	4.84E-04	4.97E-04	4.96E-04	3.24E-04	3.84E-04	3.17E-04	4.56E-04	4.56E-04	4.25E-04	-7.65E+00	-7.69E+00	-8.48E+00	-7.59E+00	-7.63E+00
3.38E-05	3.22E-05	3.37E-05	3.41E-05	2.28E-05	2.76E-05	1.91E-05	3.17E-05	3.15E-05	3.04E-05	-1.03E+01	-1.03E+01	-1.12E+01	-1.02E+01	-1.03E+01
1.79E-04	1.75E-04	1.98E-04	2.21E-04	1.48E-04	1.76E-04	2.50E-04	1.92E-04	3.09E-04	3.27E-04	-8.43E+00	-8.57E+00	-9.33E+00	-8.35E+00	-8.33E+00
2.69E-01	2.63E-01	2.63E-01	2.65E-01	2.59E-01	2.71E-01	2.40E-01	2.23E-01	2.23E-01	2.15E-01	-1.04E+00	-1.28E+00	-2.28E+00	-1.08E+00	-1.15E+00
1.15E-04	1.12E-04	1.13E-04	1.13E-04	8.14E-05	9.51E-05	7.04E-05	1.11E-04	1.11E-04	1.05E-04	-9.03E+00	-9.02E+00	-1.01E+01	-8.96E+00	-9.00E+00
1.03E-01	1.02E-01	9.74E-02	9.27E-02	8.25E-02	8.95E-02	7.90E-02	1.00E-01	1.01E-01	9.70E-02	-2.20E+00	-2.25E+00	-2.53E+00	-2.08E+00	-2.09E+00
2.68E-04	2.70E-04	2.63E-04	2.54E-04	1.74E-04	1.93E-04	1.55E-04	2.40E-04	2.32E-04	2.14E-04	-8.27E+00	-8.48E+00	-8.90E+00	-8.16E+00	-8.21E+00
3.83E-04	3.43E-04	3.69E-04	3.59E-04	3.25E-04	3.59E-04	2.77E-04	3.98E-04	4.11E-04	3.68E-04	-7.97E+00	-8.19E+00	-8.99E+00	-8.07E+00	-8.09E+00
2.97E-02	3.06E-02	3.01E-02	3.19E-02	4.48E-02	4.16E-02	5.87E-02	3.78E-02	3.97E-02	4.38E-02	-3.63E+00	-3.68E+00	-3.87E+00	-3.44E+00	-3.44E+00
1.02E-05	1.01E-05	1.10E-05	9.75E-06	1.52E-05	1.41E-05	1.17E-05	1.30E-05	9.38E-06	9.51E-06	-1.10E+01	-1.04E+01	-1.23E+01	-1.13E+01	-1.12E+01
1.09E-04	1.07E-04	1.10E-04	1.10E-04	5.85E-05	6.19E-05	4.88E-05	1.10E-04	1.07E-04	9.51E-05	-9.48E+00	-9.31E+00	-1.02E+01	-8.87E+00	-8.92E+00
3.58E-04	3.36E-04	3.52E-04	3.29E-04	4.12E-04	4.13E-04	4.33E-04	2.73E-04	2.72E-04	3.13E-04	-8.49E+00	-8.91E+00	-9.92E+00	-8.77E+00	-8.75E+00
6.11E-03	6.43E-03	6.86E-03	7.62E-03	6.85E-03	7.49E-03	6.61E-03	6.05E-03	6.16E-03	6.40E-03	-5.02E+00	-4.69E+00	-6.14E+00	-4.98E+00	-4.73E+00
2.29E-04	2.22E-04	2.32E-04	2.06E-04	1.73E-04	2.17E-04	1.91E-04	1.80E-04	1.77E-04	1.84E-04	-7.87E+00	-7.70E+00	-9.44E+00	-8.55E+00	-8.46E+00
6.51E-04	6.24E-04	6.31E-04	6.28E-04	4.51E-04	5.18E-04	3.90E-04	6.08E-04	6.10E-04	5.83E-04	-7.26E+00	-7.28E+00	-7.99E+00	-7.21E+00	-7.21E+00
5.36E-06	5.55E-06	5.70E-06	5.24E-06	3.57E-06	4.50E-06	4.14E-06	3.76E-06	3.28E-06	4.88E-06	-1.19E+01	-1.16E+01	-1.28E+01	-1.21E+01	-1.21E+01
8.62E-05	8.58E-05	8.21E-05	8.29E-05	6.21E-05	7.15E-05	5.43E-05	9.00E-05	8.78E-05	8.24E-05	-9.44E+00	-9.56E+00	-1.04E+01	-9.37E+00	-9.41E+00
6.31E-04	6.43E-04	6.25E-04	6.40E-04	9.43E-04	8.11E-04	1.15E-03	6.73E-04	7.30E-04	8.05E-04	-7.58E+00	-7.54E+00	-7.29E+00	-7.51E+00	-7.51E+00
7.22E-05	7.25E-05	7.17E-05	6.89E-05	4.74E-05	5.31E-05	4.09E-05	6.93E-05	6.90E-05	6.34E-05	-9.51E+00	-9.61E+00	-1.01E+01	-9.37E+00	-9.39E+00
2.42E-02	2.49E-02	2.52E-02	2.43E-02	1.42E-02	1.63E-02	1.18E-02	2.75E-02	2.69E-02	2.37E-02	-3.99E+00	-3.81E+00	-4.61E+00	-3.42E+00	-3.45E+00
5.17E-06	4.98E-06	5.14E-06	4.88E-06	3.75E-06	4.17E-06	3.21E-06	4.53E-06	4.56E-06	4.37E-06	-1.20E+01	-1.19E+01	-1.31E+01	-1.21E+01	-1.21E+01
2.25E-05	2.19E-05	2.19E-05	2.06E-05	1.86E-05	1.96E-05	1.45E-05	2.10E-05	2.06E-05	1.90E-05	-1.06E+01	-1.08E+01	-1.14E+01	-1.06E+01	-1.06E+01
6.45E-04	6.50E-04	6.55E-04	6.52E-04	4.70E-04	5.46E-04	4.06E-04	6.29E-04	6.44E-04	5.87E-04	-7.31E+00	-7.29E+00	-8.35E+00	-7.19E+00	-7.23E+00
1.84E-04	1.89E-04	1.82E-04	1.64E-04	1.46E-04	1.50E-04	1.18E-04	1.59E-04	1.53E-04	1.50E-04	-8.76E+00	-9.21E+00	-9.28E+00	-8.96E+00	-8.96E+00
